X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
47.0,63.0,27.0,2.0,22557.0,4137.972043427464,1489.16053472148,1.0,-0.47072136153175825,209,280,27,94.0,126.0,54.0,115.0,63.0,27.0,511,280,27,230.0,126.0,54.0,4.0,302,0,0,68,0,0,372
51.0,65.0,28.0,2.0,21922.0,3502.972043427464,1460.2223477965792,1.0,-0.4115796268715346,227,289,28,102.0,130.0,56.0,119.0,65.0,28.0,529,289,28,238.0,130.0,56.0,4.0,302,0,0,68,0,0,373
35.0,39.0,12.0,2.0,21806.0,3386.972043427464,1401.741483679495,3.0,-0.41456448553674935,156,173,12,70.0,78.0,24.0,103.0,39.0,12.0,458,173,12,206.0,78.0,24.0,4.0,302,0,0,68,0,0,374
4.0,25.0,9.0,2.0,22710.0,4290.972043427464,1358.3925449405335,1.0,-0.5190989982351452,18,111,9,8.0,50.0,18.0,72.0,25.0,9.0,320,111,9,144.0,50.0,18.0,4.0,302,0,0,68,0,0,375
50.0,30.0,7.0,2.0,21130.0,2710.972043427464,1298.9779480680183,1.0,-0.35212261957233354,222,133,7,100.0,60.0,14.0,118.0,30.0,7.0,524,133,7,236.0,60.0,14.0,4.0,302,0,0,68,0,0,376
20.0,25.0,11.0,2.0,21643.0,3223.972043427464,1202.0819144971163,1.0,-0.4568155174227545,89,111,11,40.0,50.0,22.0,88.0,25.0,11.0,391,111,11,176.0,50.0,22.0,4.0,302,0,0,68,0,0,377
26.0,14.0,8.0,2.0,22355.0,3935.972043427464,1194.275782561873,3.0,-0.5344178982887385,116,62,8,52.0,28.0,16.0,94.0,14.0,8.0,418,62,8,188.0,28.0,16.0,4.0,302,0,0,68,0,0,378
17.0,55.0,42.0,2.0,22376.0,3956.972043427464,1181.8265574735035,3.0,-0.5400377990037213,76,244,42,34.0,110.0,84.0,85.0,55.0,42.0,378,244,42,170.0,110.0,84.0,4.0,302,0,0,68,0,0,379
37.0,35.0,14.0,2.0,21776.0,3356.972043427464,1038.7453420539184,1.0,-0.5273830180780997,164,156,14,74.0,70.0,28.0,105.0,35.0,14.0,466,156,14,210.0,70.0,28.0,4.0,302,0,0,68,0,0,380
47.0,31.0,8.0,2.0,21974.0,3554.972043427464,1030.7753426597558,1.0,-0.5504439054854862,209,138,8,94.0,62.0,16.0,115.0,31.0,8.0,511,138,8,230.0,62.0,16.0,4.0,302,0,0,68,0,0,381
9.0,17.0,5.0,2.0,21488.0,3068.972043427464,952.2240267100216,2.0,-0.5263976139927617,40,76,5,18.0,34.0,10.0,77.0,17.0,5.0,342,76,5,154.0,34.0,10.0,4.0,302,0,0,68,0,0,382
15.0,21.0,33.0,2.0,21344.0,2924.972043427464,943.5985194581467,4.0,-0.5121720004226544,67,93,33,30.0,42.0,66.0,83.0,21.0,33.0,369,93,33,166.0,42.0,66.0,4.0,302,0,0,68,0,0,383
48.0,60.0,24.0,2.0,21122.0,2702.972043427464,913.9948119614933,1.0,-0.49460702931257294,213,267,24,96.0,120.0,48.0,116.0,60.0,24.0,515,267,24,232.0,120.0,48.0,4.0,302,0,0,68,0,0,384
31.0,44.0,35.0,2.0,20846.0,2426.972043427464,744.4198418409502,2.0,-0.5305406151167311,138,196,35,62.0,88.0,70.0,99.0,44.0,35.0,440,196,35,198.0,88.0,70.0,4.0,302,0,0,68,0,0,385
4.0,18.0,28.0,2.0,21464.0,3044.972043427464,703.2005194519727,3.0,-0.624776870512196,18,80,28,8.0,36.0,56.0,72.0,18.0,28.0,320,80,28,144.0,36.0,56.0,4.0,302,0,0,68,0,0,386
33.0,61.0,60.0,2.0,20015.0,1595.972043427464,643.0191264057553,1.0,-0.4256170948153822,147,271,60,66.0,122.0,120.0,101.0,61.0,60.0,449,271,60,202.0,122.0,120.0,4.0,302,0,0,68,0,0,387
13.0,24.0,27.0,2.0,20084.0,1664.972043427464,617.1902654095865,1.0,-0.45911799259878605,58,107,27,26.0,48.0,54.0,81.0,24.0,27.0,360,107,27,162.0,48.0,54.0,4.0,302,0,0,68,0,0,388
22.0,20.0,11.0,2.0,20950.0,2530.972043427464,599.7196863378217,1.0,-0.6168772028009389,98,89,11,44.0,40.0,22.0,90.0,20.0,11.0,400,89,11,180.0,40.0,22.0,4.0,302,0,0,68,0,0,389
15.0,20.0,22.0,2.0,19684.0,1264.972043427464,587.3007547482517,4.0,-0.3658593320307051,67,89,22,30.0,40.0,44.0,83.0,20.0,22.0,369,89,22,166.0,40.0,44.0,4.0,302,0,0,68,0,0,390
51.0,52.0,34.0,2.0,21221.0,2801.972043427464,509.74889693054666,1.0,-0.6921546796298357,227,231,34,102.0,104.0,68.0,119.0,52.0,34.0,529,231,34,238.0,104.0,68.0,4.0,302,0,0,68,0,0,391
39.0,35.0,31.0,2.0,20691.0,2271.972043427464,493.5679805829944,2.0,-0.6430585156621635,173,156,31,78.0,70.0,62.0,107.0,35.0,31.0,475,156,31,214.0,70.0,62.0,4.0,302,0,0,68,0,0,392
9.0,10.0,13.0,2.0,20224.0,1804.972043427464,463.06235580789456,2.0,-0.5916619642418028,40,44,13,18.0,20.0,26.0,77.0,10.0,13.0,342,44,13,154.0,20.0,26.0,4.0,302,0,0,68,0,0,393
3.0,25.0,13.0,2.0,19659.0,1239.972043427464,462.0481728112501,1.0,-0.4570591249117734,13,111,13,6.0,50.0,26.0,71.0,25.0,13.0,315,111,13,142.0,50.0,26.0,4.0,302,0,0,68,0,0,394
2.0,29.0,16.0,2.0,20933.0,2513.972043427464,452.20978508498314,1.0,-0.6950896396585584,9,129,16,4.0,58.0,32.0,70.0,29.0,16.0,311,129,16,140.0,58.0,32.0,4.0,302,0,0,68,0,0,395
39.0,29.0,29.0,2.0,20044.0,1624.972043427464,432.78000343722147,2.0,-0.579366227241391,173,129,29,78.0,58.0,58.0,107.0,29.0,29.0,475,129,29,214.0,58.0,58.0,4.0,302,0,0,68,0,0,396
16.0,27.0,36.0,2.0,20548.0,2128.972043427464,426.62993048295147,1.0,-0.6661217710439078,71,120,36,32.0,54.0,72.0,84.0,27.0,36.0,373,120,36,168.0,54.0,72.0,4.0,302,0,0,68,0,0,397
27.0,16.0,16.0,2.0,20173.0,1753.972043427464,418.3855393891716,2.0,-0.6148096955136628,120,71,16,54.0,32.0,32.0,95.0,16.0,16.0,422,71,16,190.0,32.0,32.0,4.0,302,0,0,68,0,0,398
24.0,16.0,17.0,2.0,20250.0,1830.972043427464,409.46542486534264,1.0,-0.6344772566427826,107,71,17,48.0,32.0,34.0,92.0,16.0,17.0,409,71,17,184.0,32.0,34.0,4.0,302,0,0,68,0,0,399
33.0,40.0,35.0,2.0,19694.0,1274.972043427464,395.30980494557724,1.0,-0.5266549710390092,147,178,35,66.0,80.0,70.0,101.0,40.0,35.0,449,178,35,202.0,80.0,70.0,4.0,302,0,0,68,0,0,400
33.0,6.0,4.0,2.0,19692.0,1272.972043427464,368.85643778585455,1.0,-0.5506760395418796,147,27,4,66.0,12.0,8.0,101.0,6.0,4.0,449,27,4,202.0,12.0,8.0,4.0,302,0,0,68,0,0,401
15.0,22.0,14.0,2.0,19397.0,977.9720434274641,347.9027392225807,2.0,-0.47521026302767055,67,98,14,30.0,44.0,28.0,83.0,22.0,14.0,369,98,14,166.0,44.0,28.0,4.0,302,0,0,68,0,0,402
19.0,24.0,29.0,2.0,19881.0,1461.972043427464,343.9347362979291,1.0,-0.6191002324602515,84,107,29,38.0,48.0,58.0,87.0,24.0,29.0,386,107,29,174.0,48.0,58.0,4.0,302,0,0,68,0,0,403
22.0,28.0,14.0,2.0,19586.0,1166.972043427464,337.0529882912311,2.0,-0.5517986985814055,98,124,14,44.0,56.0,28.0,90.0,28.0,14.0,400,124,14,180.0,56.0,28.0,4.0,302,0,0,68,0,0,404
5.0,20.0,13.0,2.0,20067.0,1647.972043427464,333.4385701438248,1.0,-0.6634331441852569,22,89,13,10.0,40.0,26.0,73.0,20.0,13.0,324,89,13,146.0,40.0,26.0,4.0,302,0,0,68,0,0,405
