,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
153,10.0,48.0,17.0,2.0,28650.0,7476.162813101706,4789.771013837813,10.0,48.0,17.0,0,0,0
154,30.0,5.0,18.0,2.0,31714.0,10540.162813101706,4766.322377617212,30.0,5.0,18.0,0,0,0
155,36.0,51.0,44.0,2.0,28555.0,7381.162813101706,4722.405564767223,36.0,51.0,44.0,0,0,0
156,22.0,42.0,27.0,2.0,30387.0,9213.162813101706,4684.174323992564,22.0,42.0,27.0,0,0,0
157,15.0,35.0,47.0,2.0,31338.0,10164.162813101706,4627.0549638038465,15.0,35.0,47.0,0,0,0
158,26.0,13.0,48.0,2.0,28974.0,7800.162813101706,4622.406083627539,26.0,13.0,48.0,0,0,0
159,14.0,58.0,64.0,2.0,29841.0,8667.162813101706,4566.278155932559,14.0,58.0,64.0,0,0,0
160,23.0,62.0,49.0,2.0,29943.0,8769.162813101706,4539.515951093632,23.0,62.0,49.0,0,0,0
161,41.0,20.0,56.0,2.0,29428.0,8254.162813101706,4358.297043505093,41.0,20.0,56.0,0,0,0
162,32.0,57.0,46.0,2.0,29661.0,8487.162813101706,4285.460741405028,32.0,57.0,46.0,0,0,0
163,4.0,7.0,21.0,2.0,31177.0,10003.162813101706,4135.360674694294,4.0,7.0,21.0,0,0,0
164,9.0,24.0,52.0,2.0,28983.0,7809.162813101706,4004.5365333991963,9.0,24.0,52.0,0,0,0
165,9.0,13.0,37.0,2.0,30379.0,9205.162813101706,3801.649149822883,9.0,13.0,37.0,0,0,0
166,10.0,45.0,61.0,2.0,31142.0,9968.162813101706,3769.319902791705,10.0,45.0,61.0,0,0,0
167,8.0,57.0,53.0,2.0,27178.0,6004.162813101706,3716.000516984493,8.0,57.0,53.0,0,0,0
168,17.0,64.0,49.0,2.0,28203.0,7029.162813101706,3508.262294710382,17.0,64.0,49.0,0,0,0
169,46.0,38.0,46.0,2.0,29390.0,8216.162813101706,3476.798485329363,46.0,38.0,46.0,0,0,0
170,59.0,57.0,6.0,2.0,28964.0,7790.162813101706,3419.768208281894,59.0,57.0,6.0,0,0,0
171,4.0,45.0,6.0,2.0,26941.0,5767.162813101706,3309.7439436532463,4.0,45.0,6.0,0,0,0
172,19.0,56.0,42.0,2.0,26172.0,4998.162813101706,3218.8281077117995,19.0,56.0,42.0,0,0,0
173,49.0,20.0,61.0,2.0,28314.0,7140.162813101706,3079.8360477036986,49.0,20.0,61.0,0,0,0
174,7.0,20.0,39.0,2.0,27388.0,6214.162813101706,3047.1757952687835,7.0,20.0,39.0,0,0,0
175,22.0,8.0,42.0,2.0,28336.0,7162.162813101706,3029.2549672828895,22.0,8.0,42.0,0,0,0
176,48.0,23.0,57.0,2.0,27304.0,6130.162813101706,3019.259071267214,48.0,23.0,57.0,0,0,0
177,10.0,64.0,55.0,2.0,26378.0,5204.162813101706,2712.0088821411173,10.0,64.0,55.0,0,0,0
178,22.0,16.0,30.0,2.0,25809.0,4635.162813101706,2671.2668240589996,22.0,16.0,30.0,0,0,0
